Title,Summary,Published,Link,Authors,Institutions
"Behave-XAI: Deep Explainable Learning of Behavioral Representational
  Data","  According to the latest trend of artificial intelligence, AI-systems needs to
clarify regarding general,specific decisions,services provided by it. Only
consumer is satisfied, with explanation , for example, why any classification
result is the outcome of any given time. This actually motivates us using
explainable or human understandable AI for a behavioral mining scenario, where
users engagement on digital platform is determined from context, such as
emotion, activity, weather, etc. However, the output of AI-system is not always
systematically correct, and often systematically correct, but apparently
not-perfect and thereby creating confusions, such as, why the decision is
given? What is the reason underneath? In this context, we first formulate the
behavioral mining problem in deep convolutional neural network architecture.
Eventually, we apply a recursive neural network due to the presence of
time-series data from users physiological and environmental sensor-readings.
Once the model is developed, explanations are presented with the advent of XAI
models in front of users. This critical step involves extensive trial with
users preference on explanations over conventional AI, judgement of credibility
of explanation.
",2022-12-30T18:08:48Z,http://arxiv.org/abs/2301.00016v2,"Rossi Kamal, Zuzana Kubincova",Unknown
Deep Neural Mobile Networking,"  The next generation of mobile networks is set to become increasingly complex,
as these struggle to accommodate tremendous data traffic demands generated by
ever-more connected devices that have diverse performance requirements in terms
of throughput, latency, and reliability. This makes monitoring and managing the
multitude of network elements intractable with existing tools and impractical
for traditional machine learning algorithms that rely on hand-crafted feature
engineering. In this context, embedding machine intelligence into mobile
networks becomes necessary, as this enables systematic mining of valuable
information from mobile big data and automatically uncovering correlations that
would otherwise have been too difficult to extract by human experts. In
particular, deep learning based solutions can automatically extract features
from raw data, without human expertise. The performance of artificial
intelligence (AI) has achieved in other domains draws unprecedented interest
from both academia and industry in employing deep learning approaches to
address technical challenges in mobile networks. This thesis attacks important
problems in the mobile networking area from various perspectives by harnessing
recent advances in deep neural networks.
",2020-10-23T09:23:36Z,http://arxiv.org/abs/2011.05267v1,Chaoyun Zhang,Unknown
"Learning Random Numbers to Realize Appendable Memory System for
  Artificial Intelligence to Acquire New Knowledge after Deployment","  In this study, we developed a learning method for constructing a neural
network system capable of memorizing data and recalling it without parameter
updates. The system we built using this method is called the Appendable Memory
system. The Appendable Memory system enables an artificial intelligence (AI) to
acquire new knowledge even after deployment. It consists of two AIs: the
Memorizer and the Recaller. This system is a key-value store built using neural
networks. The Memorizer receives data and stores it in the Appendable Memory
vector, which is dynamically updated when the AI acquires new knowledge.
Meanwhile, the Recaller retrieves information from the Appendable Memory
vector. What we want to teach AI in this study are the operations of memorizing
and recalling information. However, traditional machine learning methods make
AI learn features inherent in the learning dataset. We demonstrate that the
systems we intend to create cannot be realized by current machine learning
methods, that is, by merely repeating the input and output learning sequences
with AI. Instead, we propose a method to teach AI to learn operations, by
completely removing the features contained in the learning dataset.
Specifically, we probabilized all the data involved in learning. This measure
prevented AI from learning the features of the data. The learning method
proposed in the study differs from traditional machine learning methods and
provides fundamental approaches for building an AI system that can store
information in a finite memory and recall it at a later date.
",2024-07-29T17:24:35Z,http://arxiv.org/abs/2407.20197v1,Kazunori D Yamada,Unknown
Modeling the EdNet Dataset with Logistic Regression,"  Many of these challenges are won by neural network models created by
full-time artificial intelligence scientists. Due to this origin, they have a
black-box character that makes their use and application less clear to learning
scientists. We describe our experience with competition from the perspective of
educational data mining, a field founded in the learning sciences and connected
with roots in psychology and statistics. We describe our efforts from the
perspectives of learning scientists and the challenges to our methods, some
real and some imagined. We also discuss some basic results in the Kaggle system
and our thoughts on how those results may have been improved. Finally, we
describe how learner model predictions are used to make pedagogical decisions
for students. Their practical use entails a) model predictions and b) a
decision rule (based on the predictions). We point out how increased model
accuracy can be of limited practical utility, especially when paired with
simple decision rules and argue instead for the need to further investigate
optimal decision rules.
",2021-05-17T20:30:36Z,http://arxiv.org/abs/2105.08150v1,"Philip I. Pavlik Jr, Luke G. Eglington",Unknown
"Causal Relationship Network of Risk Factors Impacting Workday Loss in
  Underground Coal Mines","  This study aims to establish the causal relationship network between various
factors leading to workday loss in underground coal mines using a novel causal
artificial intelligence (AI) method. The analysis utilizes data obtained from
the National Institute for Occupational Safety and Health (NIOSH). A total of
101,010 injury records from 3,982 unique underground coal mines spanning the
years from 1990 to 2020 were extracted from the NIOSH database. Causal
relationships were analyzed and visualized using a novel causal AI method
called Grouped Greedy Equivalence Search (GGES). The impact of each variable on
workday loss was assessed through intervention do-calculus adjustment (IDA)
scores. Model training and validation were performed using the 10-fold
cross-validation technique. Performance metrics, including adjacency precision
(AP), adjacency recall (AR), arrowhead precision (AHP), and arrowhead recall
(AHR), were utilized to evaluate the models. Findings revealed that after 2006,
key direct causes of workday loss among mining employees included total mining
experience, mean office employees, mean underground employees, county, and
total mining experience (years). Total mining experience emerged as the most
influential factor, whereas mean employees per mine exhibited the least
influence. The analyses emphasized the significant role of total mining
experience in determining workday loss. The models achieved optimal
performance, with AP, AR, AHP, and AHR values measuring 0.694, 0.653, 0.386,
and 0.345, respectively. This study demonstrates the feasibility of utilizing
the new GGES method to clarify the causal factors behind the workday loss by
analyzing employment demographics and injury records and establish their causal
relationship network.
",2024-01-24T22:45:34Z,http://arxiv.org/abs/2402.05940v1,"Shangsi Ren, Cameron A. Beeche, Zhiyi Shi, Maria Acevedo Garcia, Katherine Zychowski, Shuguang Leng, Pedram Roghanchi, Jiantao Pu",Unknown
A brief network analysis of Artificial Intelligence publication,"  In this paper, we present an illustration to the history of Artificial
Intelligence(AI) with a statistical analysis of publish since 1940. We
collected and mined through the IEEE publish data base to analysis the
geological and chronological variance of the activeness of research in AI. The
connections between different institutes are showed. The result shows that the
leading community of AI research are mainly in the USA, China, the Europe and
Japan. The key institutes, authors and the research hotspots are revealed. It
is found that the research institutes in the fields like Data Mining, Computer
Vision, Pattern Recognition and some other fields of Machine Learning are quite
consistent, implying a strong interaction between the community of each field.
It is also showed that the research of Electronic Engineering and Industrial or
Commercial applications are very active in California. Japan is also publishing
a lot of papers in robotics. Due to the limitation of data source, the result
might be overly influenced by the number of published articles, which is to our
best improved by applying network keynode analysis on the research community
instead of merely count the number of publish.
",2013-11-23T13:54:36Z,http://arxiv.org/abs/1311.5998v1,"Yunpeng Li, Jie Liu, Yong Deng",Unknown
"Towards Explainable Artificial Intelligence (XAI): A Data Mining
  Perspective","  Given the complexity and lack of transparency in deep neural networks (DNNs),
extensive efforts have been made to make these systems more interpretable or
explain their behaviors in accessible terms. Unlike most reviews, which focus
on algorithmic and model-centric perspectives, this work takes a ""data-centric""
view, examining how data collection, processing, and analysis contribute to
explainable AI (XAI). We categorize existing work into three categories subject
to their purposes: interpretations of deep models, referring to feature
attributions and reasoning processes that correlate data points with model
outputs; influences of training data, examining the impact of training data
nuances, such as data valuation and sample anomalies, on decision-making
processes; and insights of domain knowledge, discovering latent patterns and
fostering new knowledge from data and models to advance social values and
scientific discovery. Specifically, we distill XAI methodologies into data
mining operations on training and testing data across modalities, such as
images, text, and tabular data, as well as on training logs, checkpoints,
models and other DNN behavior descriptors. In this way, our study offers a
comprehensive, data-centric examination of XAI from a lens of data mining
methods and applications.
",2024-01-09T06:27:09Z,http://arxiv.org/abs/2401.04374v2,"Haoyi Xiong, Xuhong Li, Xiaofei Zhang, Jiamin Chen, Xinhao Sun, Yuchen Li, Zeyi Sun, Mengnan Du",Unknown
Petroleum prices prediction using data mining techniques -- A Review,"  Over the past 20 years, Kenya's demand for petroleum products has
proliferated. This is mainly because this particular commodity is used in many
sectors of the country's economy. Exchange rates are impacted by constantly
shifting prices, which also impact Kenya's industrial output of commodities.
The cost of other items produced and even the expansion of the economy is
significantly impacted by any change in the price of petroleum products.
Therefore, accurate petroleum price forecasting is critical for devising
policies that are suitable to curb fuel-related shocks. Data mining techniques
are the tools used to find valuable patterns in data. Data mining techniques
used in petroleum price prediction, including artificial neural networks
(ANNs), support vector machines (SVMs), and intelligent optimization techniques
like the genetic algorithm (GA), have grown increasingly popular. This study
provides a comprehensive review of the existing data mining techniques for
making predictions on petroleum prices. The data mining techniques are
classified into regression models, deep neural network models, fuzzy sets and
logic, and hybrid models. A detailed discussion of how these models are
developed and the accuracy of the models is provided.
",2022-11-20T19:33:02Z,http://arxiv.org/abs/2211.12964v1,"Kiplang'at Weldon, John Ngechu, Ngatho Everlyne, Nancy Njambi, Kinyua Gikunda",Unknown
"Artificial intelligence for partial differential equations in
  computational mechanics: A review","  In recent years, Artificial intelligence (AI) has become ubiquitous,
empowering various fields, especially integrating artificial intelligence and
traditional science (AI for Science: Artificial intelligence for science),
which has attracted widespread attention. In AI for Science, using artificial
intelligence algorithms to solve partial differential equations (AI for PDEs:
Artificial intelligence for partial differential equations) has become a focal
point in computational mechanics. The core of AI for PDEs is the fusion of data
and partial differential equations (PDEs), which can solve almost any PDEs.
Therefore, this article provides a comprehensive review of the research on AI
for PDEs, summarizing the existing algorithms and theories. The article
discusses the applications of AI for PDEs in computational mechanics, including
solid mechanics, fluid mechanics, and biomechanics. The existing AI for PDEs
algorithms include those based on Physics-Informed Neural Networks (PINNs),
Deep Energy Methods (DEM), Operator Learning, and Physics-Informed Neural
Operator (PINO). AI for PDEs represents a new method of scientific simulation
that provides approximate solutions to specific problems using large amounts of
data, then fine-tuning according to specific physical laws, avoiding the need
to compute from scratch like traditional algorithms. Thus, AI for PDEs is the
prototype for future foundation models in computational mechanics, capable of
significantly accelerating traditional numerical algorithms.
",2024-10-21T10:12:33Z,http://arxiv.org/abs/2410.19843v2,"Yizheng Wang, Jinshuai Bai, Zhongya Lin, Qimin Wang, Cosmin Anitescu, Jia Sun, Mohammad Sadegh Eshaghi, Yuantong Gu, Xi-Qiao Feng, Xiaoying Zhuang, Timon Rabczuk, Yinghua Liu",Unknown
"Fair Differentiable Neural Network Architecture Search for Long-Tailed
  Data with Self-Supervised Learning","  Recent advancements in artificial intelligence (AI) have positioned deep
learning (DL) as a pivotal technology in fields like computer vision, data
mining, and natural language processing. A critical factor in DL performance is
the selection of neural network architecture. Traditional predefined
architectures often fail to adapt to different data distributions, making it
challenging to achieve optimal performance. Neural architecture search (NAS)
offers a solution by automatically designing architectures tailored to specific
datasets. However, the effectiveness of NAS diminishes on long-tailed datasets,
where a few classes have abundant samples, and many have few, leading to biased
models.In this paper, we explore to improve the searching and training
performance of NAS on long-tailed datasets. Specifically, we first discuss the
related works about NAS and the deep learning method for long-tailed
datasets.Then, we focus on an existing work, called SSF-NAS, which integrates
the self-supervised learning and fair differentiable NAS to making NAS achieve
better performance on long-tailed datasets.An detailed description about the
fundamental techniques for SSF-NAS is provided in this paper, including DARTS,
FairDARTS, and Barlow Twins. Finally, we conducted a series of experiments on
the CIFAR10-LT dataset for performance evaluation, where the results are align
with our expectation.
",2024-06-19T12:39:02Z,http://arxiv.org/abs/2406.16949v1,Jiaming Yan,Unknown
